NAME;STATUS;TURNDOWN_DATE
asia-east1;UP;
asia-east2;UP;
asia-northeast1;UP;
asia-northeast2;UP;
asia-northeast3;UP;
asia-south1;UP;
asia-south2;UP;
asia-southeast1;UP;
asia-southeast2;UP;
australia-southeast1;UP;
australia-southeast2;UP;
europe-central2;UP;
europe-north1;UP;
europe-west1;UP;
europe-west2;UP;
europe-west3;UP;
europe-west4;UP;
europe-west6;UP;
europe-west8;UP;
northamerica-northeast1;UP;
northamerica-northeast2;UP;
southamerica-east1;UP;
southamerica-west1;UP;
us-central1;UP;
us-east1;UP;
us-east4;UP;
us-west1;UP;
us-west2;UP;
us-west3;UP;
us-west4;UP;
